year,gear,ocean,species,product,property,value
2012,PS,WCPO,SKJ,lc,sales_value,8660049484
2012,PS,WCPO,YFT,lc,volume,397738
2012,PS,WCPO,YFT,lc,catch_value,899683356
2012,PS,WCPO,YFT,lc,sales_value,3879109863
2012,TR,WCPO,ALB,lc,volume,3575
2012,TR,WCPO,ALB,lc,catch_value,12340900
2012,TR,WCPO,ALB,lc,sales_value,32163770.5
2012,TR,WCPO,BET,fsh_sash,volume,136.5
2012,TR,WCPO,BET,fsh_sash,catch_value,855200.3135
2012,TR,WCPO,BET,fsh_sash,sales_value,3015199.688
2012,TR,WCPO,BET,fzn_sash,volume,136.5
2012,TR,WCPO,BET,fzn_sash,catch_value,1431253.135
2012,TR,WCPO,BET,fzn_sash,sales_value,2360095.386
2012,TR,WCPO,PBF,ranch,volume,570
2012,TR,WCPO,PBF,ranch,catch_value,7144380
2012,TR,WCPO,PBF,ranch,sales_value,30650581.21
2012,TR,WCPO,SKJ,lc,volume,4364.5
2012,TR,WCPO,SKJ,lc,catch_value,6869592.251
2012,TR,WCPO,SKJ,lc,sales_value,27147500.29
2012,TR,WCPO,SKJ,dom,volume,1870.5
2012,TR,WCPO,SKJ,dom,catch_value,2944110.965
2012,TR,WCPO,SKJ,dom,sales_value,6546750
2012,TR,WCPO,YFT,fsh_sash,volume,1967.5
2012,TR,WCPO,YFT,fsh_sash,catch_value,9680840.125
2012,TR,WCPO,YFT,fsh_sash,sales_value,36999821.25
2012,TR,WCPO,YFT,fzn_sash,volume,1967.5
2012,TR,WCPO,YFT,fzn_sash,catch_value,11547950.34
2012,TR,WCPO,YFT,fzn_sash,sales_value,36045925.92
2012,BBPL,EPO,SKJ,lc,volume,303
2012,BBPL,EPO,SKJ,lc,catch_value,476912.9229
2012,BBPL,EPO,SKJ,lc,sales_value,1884681.542
2012,BBPL,EPO,YFT,lc,volume,413
2012,BBPL,EPO,YFT,lc,catch_value,934206
2012,BBPL,EPO,YFT,lc,sales_value,4027959.041
2012,LL,EPO,ALB,lc,volume,22525
2012,LL,EPO,ALB,lc,catch_value,77756300
2012,LL,EPO,ALB,lc,sales_value,202654246.3
2012,LL,EPO,BET,lc,volume,6344.4
2012,LL,EPO,BET,lc,catch_value,12295447.2
