year,gear,ocean,species,product,volume,catch_value,sales_value
2012,Other,WIO,YFT,lc,80,148167.178,780234.1969
2012,PS,WIO,ALB,lc,1297,4579707,11668925.97
2012,PS,WIO,BET,lc,17071,34223087.25,135709445.7
2012,PS,WIO,SKJ,lc,82416,125046202.8,512633379.4
2012,PS,WIO,YFT,lc,130276,241282841,1270572378
2012,TR,WIO,ALB,dom,8,28248,24000
2012,TR,WIO,BET,dom,148,285122,592000
2012,TR,WIO,SKJ,dom,10592,19420432,37072000
2012,TR,WIO,YFT,dom,8688,19652256,47784000
2012,BBPL,EIO,SKJ,lc,1102.5,2021433.75,6857628.382
2012,BBPL,EIO,SKJ,dom,6247.5,11454791.25,21866250
2012,BBPL,EIO,YFT,lc,409.2,925610.4,3990897.917
2012,BBPL,EIO,YFT,dom,2318.8,5245125.6,12753400
2012,GN,EIO,ALB,lc,5.7,19676.4,51282.09562
2012,GN,EIO,ALB,dom,108.3,373851.6,324900
2012,GN,EIO,BET,lc,81.65,163687.8375,649093.5647
2012,GN,EIO,BET,dom,1551.35,3110068.913,6205400
2012,GN,EIO,SKJ,lc,3120.4,4881819.06,19409109.84
2012,GN,EIO,SKJ,dom,59287.6,92754562.15,207506600
2012,GN,EIO,YFT,lc,704.65,1305075.025,6872400.335
2012,GN,EIO,YFT,dom,13388.35,24796425.47,73635925
2012,HL,EIO,ALB,dom,340,1173680,1020000
2012,HL,EIO,SKJ,dom,4863,7608090.659,17020500
2012,HL,EIO,YFT,fsh_sash,2415.6,11885660.69,45426565.8
2012,HL,EIO,YFT,fzn_sash,5636.4,33082016.41,103262646.4
2012,LL,EIO,ALB,lc,21459,74076468,193063594.7
2012,LL,EIO,BET,fsh_sash,16756,104979754.2,370129567.5
2012,LL,EIO,BET,fzn_sash,16756,181856527.4,289712514.9
2012,LL,EIO,SKJ,dom,6687,10461711.34,23404500
2012,LL,EIO,YFT,dom,29730,55062627.52,163515000
2012,LL,EIO,YFT,fsh_sash,17342.5,85331623.82,326134383.8
2012,LL,EIO,YFT,fzn_sash,2477.5,14541319.93,45389469.62
2012,Other,EIO,ALB,lc,104,367224,935673.3235
2012,Other,EIO,ALB,dom,104,367224,312000
2012,Other,EIO,BET,fsh_sash,766,4799146.082,16920461.25
2012,Other,EIO,BET,fzn_sash,766,8313565.287,13244198.28
2012,Other,EIO,SKJ,lc,2507,4596584.5,15593718.23
2012,Other,EIO,SKJ,dom,2507,4596584.5,8774500
2012,Other,EIO,YFT,fsh_sash,490.5,2413444.514,9224097.75
2012,Other,EIO,YFT,fzn_sash,490.5,2878917.226,8986290.554
2012,PS,EIO,BET,lc,4978,9590117,39573640.73
2012,PS,EIO,SKJ,lc,28877,52945979.5,179616993
2012,PS,EIO,YFT,lc,4492,10160904,43810150.16
2012,TR,EIO,ALB,lc,486.9,1719243.9,4380570.589
2012,TR,EIO,ALB,dom,54.1,191027.1,162300
2012,TR,EIO,BET,lc,605.7,1166881.05,4815137.442
2012,TR,EIO,BET,dom,67.3,129653.45,269200
2012,TR,EIO,SKJ,lc,8774.1,16087312.35,54575525.79
2012,TR,EIO,SKJ,dom,974.9,1787479.15,3412150
2012,TR,EIO,YFT,lc,2579.4,5834602.8,25156701.09
2012,TR,EIO,YFT,dom,286.6,648289.2,1576300
2012,BBPL,EAO,ALB,lc,14558,50254216,130976271.6
2012,BBPL,EAO,BET,lc,9541,18435597.25,75848153.11
2012,BBPL,EAO,BFT,fsh_sash,211.5,7652896.552,11372978.82
2012,BBPL,EAO,BFT,fzn_sash,70.5,883680.1203,5228948.984
2012,BBPL,EAO,SKJ,lc,45086,70536371.67,280438125.4
2012,BBPL,EAO,YFT,lc,6529,14768598,63676863.39
2012,GN,EAO,SKJ,lc,4946,7737942.915,30764471.63
2012,GN,EAO,YFT,dom,604,1118662.194,2237324.388
2012,HL,EAO,ALB,dom,17,58684,51000
2012,HL,EAO,BET,dom,267,517446,1068000
2012,HL,EAO,BFT,fsh_sash,143.25,5183344.828,7702975.014
2012,HL,EAO,BFT,fzn_sash,47.75,598520.9326,3541593.106
2012,HL,EAO,SKJ,lc,982,1536324.291,6108109.815
2012,HL,EAO,YFT,dom,1337,2476243.962,7353500
2012,LL,EAO,ALB,lc,2471,8529892,22231238.29
2012,LL,EAO,BET,fzn_sash,16796,105230362.4,290404118
2012,LL,EAO,BFT,dom,171.5,332367,664734
2012,LL,EAO,BFT,fsh_sash,514.5,18616620.69,27666182.51
2012,LL,EAO,BFT,fzn_sash,1029,12897969.42,76320404.32
2012,LL,EAO,SKJ,lc,347,542876.3024,2158364.67
2012,LL,EAO,YFT,fzn_sash,5395,31665154.81,98840035.76
2012,Other,EAO,ALB,dom,3302,11398504,9906000
2012,Other,EAO,BFT,fzn_sash,2522,31611932.82,187055451.6
2012,Other,EAO,SKJ,lc,146,256132.6667,908130.3798
2012,PS,EAO,ALB,lc,265,935715,2384167.603
2012,PS,EAO,BET,lc,21383,41194349.5,169988581.7
2012,PS,EAO,BFT,For ranching,6106,76535472.55,452878900.6
2012,PS,EAO,SKJ,lc,152464,267472677.3,948336919.4
2012,PS,EAO,YFT,lc,67414,152490468,657483851.9
2012,TR,EAO,ALB,lc,2979.5,10520614.5,26806141.03
2012,TR,EAO,ALB,dom,2979.5,10520614.5,8938500
2012,BBPL,WAO,ALB,lc,920.55,3177738.6,8282058.442
2012,BBPL,WAO,ALB,dom,48.45,167249.4,334498.8
2012,BBPL,WAO,BET,lc,451.25,871927.8125,3587305.219
2012,BBPL,WAO,BET,dom,23.75,45890.9375,95000
2012,BBPL,WAO,SKJ,lc,29158.35,45617801.82,181367010
2012,BBPL,WAO,SKJ,dom,1534.65,2400936.938,5371275
2012,BBPL,WAO,YFT,lc,1052.6,2380981.2,10265931.45
2012,BBPL,WAO,YFT,dom,55.4,125314.8,304700
2012,GN,WAO,SKJ,dom,52,81353.22111,182000
2012,GN,WAO,YFT,dom,23,42598.06367,85196.12734
2012,HL,WAO,BET,dom,349,676362,1396000
2012,HL,WAO,BFT,fsh_sash,951,9858194.925,51138074.96
2012,HL,WAO,SKJ,dom,313,489683.8117,1095500
2012,HL,WAO,YFT,fsh_sash,2366,11641610.03,44493813
2012,LL,WAO,ALB,lc,21045,72647340,189338895.1
2012,LL,WAO,BET,fzn_sash,21556,135052732.3,372704880.1
2012,LL,WAO,BFT,dom,73.4,760874.3507,0
2012,LL,WAO,BFT,fsh_sash,220.2,2282623.052,11840803.48
2012,LL,WAO,BFT,fzn_sash,440.4,4565246.104,32664243.01
2012,LL,WAO,YFT,fzn_sash,12805,75157054.18,234596229.5
2012,Other,WAO,ALB,dom,3564,12302928,24605856
2012,Other,WAO,BET,dom,33,63574.5,132000
2012,Other,WAO,BFT,fsh_sash,100,1036613.557,5377294.949
2012,Other,WAO,SKJ,dom,7,12280.33333,24500
2012,Other,WAO,YFT,dom,330,746460,1815000
2012,PS,WAO,ALB,lc,333,1175823,2995954.007
2012,PS,WAO,BET,lc,87,167605.5,691624.4964
2012,PS,WAO,BFT,For ranching,2,25068.93958,148338.9783
2012,PS,WAO,SKJ,lc,5202,9126042,32356809.84
2012,PS,WAO,YFT,lc,3302,7469124,32204166.48
2012,TR,WAO,SKJ,dom,136,249356,476000
2012,TR,WAO,YFT,fsh_sash,164,806941.6928,3084102
2012,LL,Antarctic,SBF,fzn_sash,5811,72835074,273358725
2012,PS,Antarctic,SBF,For ranching,4444,55701096,217942275.2
2014,BBPL,WCPO,ALB,lc,23648.1,61106690.4,214924100.6
2014,BBPL,WCPO,ALB,dom,10134.9,26188581.6,30404700
2014,BBPL,WCPO,BET,lc,3170.3,4305267.4,25459474.28
2014,BBPL,WCPO,BET,dom,1358.7,1845114.6,5434800
2014,BBPL,WCPO,PBF,fsh_sash,5,126643.6782,233329.9156
2014,BBPL,WCPO,SKJ,lc,89890.5,102654951,564816143.5
2014,BBPL,WCPO,SKJ,dom,38524.5,43994979,134835750
2014,BBPL,WCPO,YFT,lc,13286,17006080,130896248.1
2014,BBPL,WCPO,YFT,dom,5694,7288320,31317000
2014,GN,WCPO,ALB,lc,23.4,60465.6,212669.2611
2014,GN,WCPO,ALB,dom,2.6,6718.4,7800
