year,gear,rfmo,species,product,property,value
2012,GN,W,PBF,zs,v,0
2012,GN,W,PBF,zs,dv,0
2012,GN,W,PBF,zs,ev,0
2012,GN,W,PBF,r,v,0
2012,GN,W,PBF,r,dv,0
2012,GN,W,PBF,r,ev,0
2012,GN,W,SBF,lc,v,0
2012,GN,W,SBF,lc,dv,0
2012,GN,W,SBF,lc,ev,0
2012,GN,W,SBF,d,v,0
2012,GN,W,SBF,d,dv,0
2012,GN,W,SBF,d,ev,0
2012,GN,W,SBF,fs,v,0
2012,GN,W,SBF,fs,dv,0
2012,GN,W,SBF,fs,ev,0
2012,GN,W,SBF,zs,v,0
2012,GN,W,SBF,zs,dv,0
2012,GN,W,SBF,zs,ev,0
2012,GN,W,SBF,r,v,0
2012,GN,W,SBF,r,dv,0
2012,GN,W,SBF,r,ev,0
2012,GN,W,SKJ,lc,v,18983.7
2012,GN,W,SKJ,lc,dv,29699714.3
2012,GN,W,SKJ,lc,ev,119509436.2
2012,GN,W,SKJ,d,v,2109.3
2012,GN,W,SKJ,d,dv,3299968.255
2012,GN,W,SKJ,d,ev,7382550
2012,GN,W,SKJ,fs,v,0
2012,GN,W,SKJ,fs,dv,0
2012,GN,W,SKJ,fs,ev,0
2012,GN,W,SKJ,zs,v,0
2012,GN,W,SKJ,zs,dv,0
2012,GN,W,SKJ,zs,ev,0
2012,GN,W,SKJ,r,v,0
2012,GN,W,SKJ,r,dv,0
2012,GN,W,SKJ,r,ev,0
2012,GN,W,YFT,lc,v,927
2012,GN,W,YFT,lc,dv,2096874
2012,GN,W,YFT,lc,ev,9110766.856
2012,GN,W,YFT,d,v,103
2012,GN,W,YFT,d,dv,232986
2012,GN,W,YFT,d,ev,566500
2012,GN,W,YFT,fs,v,0
2012,GN,W,YFT,fs,dv,0
2012,GN,W,YFT,fs,ev,0
2012,GN,W,YFT,zs,v,0
2012,GN,W,YFT,zs,dv,0
2012,GN,W,YFT,zs,ev,0
2012,GN,W,YFT,r,v,0
2012,GN,W,YFT,r,dv,0
2012,GN,W,YFT,r,ev,0
2012,HL,W,ALB,lc,v,0
2012,HL,W,ALB,lc,dv,0
2012,HL,W,ALB,lc,ev,0
2012,HL,W,ALB,d,v,378
2012,HL,W,ALB,d,dv,1304856
2012,HL,W,ALB,d,ev,1134000
2012,HL,W,ALB,fs,v,0
2012,HL,W,ALB,fs,dv,0
2012,HL,W,ALB,fs,ev,0
2012,HL,W,ALB,zs,v,0
2012,HL,W,ALB,zs,dv,0
2012,HL,W,ALB,zs,ev,0
2012,HL,W,ALB,r,v,0
2012,HL,W,ALB,r,dv,0
2012,HL,W,ALB,r,ev,0
2012,HL,W,BET,lc,v,0
2012,HL,W,BET,lc,dv,0
2012,HL,W,BET,lc,ev,0
2012,HL,W,BET,d,v,0
2012,HL,W,BET,d,dv,0
2012,HL,W,BET,d,ev,0
2012,HL,W,BET,fs,v,3037
2012,HL,W,BET,fs,dv,19027423.82
2012,HL,W,BET,fs,ev,67085431.88
2012,HL,W,BET,zs,v,0
2012,HL,W,BET,zs,dv,0
2012,HL,W,BET,zs,ev,0
2012,HL,W,BET,r,v,0
2012,HL,W,BET,r,dv,0
2012,HL,W,BET,r,ev,0
2012,HL,W,BFT,lc,v,0
2012,HL,W,BFT,lc,dv,0
2012,HL,W,BFT,lc,ev,0
2012,HL,W,BFT,d,v,0
2012,HL,W,BFT,d,dv,0
2012,HL,W,BFT,d,ev,0
2012,HL,W,BFT,fs,v,0
2012,HL,W,BFT,fs,dv,0
2012,HL,W,BFT,fs,ev,0
2012,HL,W,BFT,zs,v,0
2012,HL,W,BFT,zs,dv,0
2012,HL,W,BFT,zs,ev,0
2012,HL,W,BFT,r,v,0
2012,HL,W,BFT,r,dv,0
2012,HL,W,BFT,r,ev,0
2012,HL,W,PBF,lc,v,0
2012,HL,W,PBF,lc,dv,0
2012,HL,W,PBF,lc,ev,0
2012,HL,W,PBF,d,v,0
2012,HL,W,PBF,d,dv,0
2012,HL,W,PBF,d,ev,0
2012,HL,W,PBF,fs,v,0
2012,HL,W,PBF,fs,dv,0
2012,HL,W,PBF,fs,ev,0
2012,HL,W,PBF,zs,v,0
2012,HL,W,PBF,zs,dv,0
2012,HL,W,PBF,zs,ev,0
2012,HL,W,PBF,r,v,0
2012,HL,W,PBF,r,dv,0
2012,HL,W,PBF,r,ev,0
2012,HL,W,SBF,lc,v,0
2012,HL,W,SBF,lc,dv,0
2012,HL,W,SBF,lc,ev,0
2012,HL,W,SBF,d,v,0
2012,HL,W,SBF,d,dv,0
2012,HL,W,SBF,d,ev,0
2012,HL,W,SBF,fs,v,0
